client_id,name,gender,Sum of age,Age group,banking_relationship,Income Band,estimated_income,loyalty_classification,occupation,nationality,joined_bank,Year of joining with bank,fee_structure,Client Net Worth,amount_of_creditcards,creditcard_balance,bank_loans,bank_deposits,banking_contact,business_lending,risk_weighting,Risk Category,saving_accounts,checking_accounts,foreigncurrency_account,superannuation_savings,properties_owned
IND19235,Douglas Gilbert,Male,65,Senior (60 +),Private Banking,Low,83769.34,Gold,Graphic Designer,European,28-12-2019,2019,High,283264.4,2,1570.26,438670.09,582515.43,Douglas Tucker,1321065.13,2,Low Risk,113076.52,222726.49,2852.11,27912.8,1
IND19265,Dorothy Reyes,Male,85,Senior (60 +),Commercial Banking,Medium,163975.08,Gold,Product Engineer,Asian,09-10-2018,2018,Low,-320206.27,1,908.41,514321.28,144554.63,Raymond Alexander,675986.97,2,Low Risk,43564.41,118812.02,16099,6904.38,3
IND19266,Barbara Barnes,Male,19,Young (18-29),Private Banking,Medium,123010.61,Silver,Quality Control Specialist,American,02-11-2015,2015,Low,176575.85,1,1710.86,406604.23,451472.92,Benjamin Kim,641971.19,2,Low Risk,120234.37,256626.71,404.84,13183.65,0
IND19308,Catherine Garrett,Male,53,Adult (30-59),Private Banking,Medium,206497.24,Platinum,Statistician III,European,24-09-2013,2013,Mid,-545419.84,2,3400.69,875268.98,252870.48,Bruce Porter,1149763.51,4,High Risk,35321.59,337160.64,39803.15,45057.76,1
IND19321,Maria Gardner,Female,69,Senior (60 +),Commercial Banking,Medium,192727.18,Jade,Engineer IV,European,14-04-2021,2021,Mid,666501.32,1,4306.71,703469.39,1110950.29,Chris Armstrong,1713942.8,2,Low Risk,243373.43,498986.15,35074.14,19953.7,3
IND19327,Johnny Murphy,Male,27,Young (18-29),Institutional Banking,Low,42085.37,Jade,Structural Analysis Engineer,Asian,20-09-2020,2020,Mid,71165.9,3,3804.62,339248.29,332126.05,Benjamin Kim,624929.72,2,Low Risk,65109.86,210456.11,45594.88,16982.9,0
IND19395,Jeremy Fowler,Male,52,Adult (30-59),Retail Banking,Low,40912.44,Jade,Administrative Assistant II,Asian,14-07-2002,2002,Low,475606.74,1,4062.15,90456.75,424422,Roger Alexander,737636.85,1,Very Low Risk,119517.24,122233.54,31105.8,26186.4,2
IND19399,Jacqueline Martin,Male,29,Young (18-29),Institutional Banking,Medium,124233.49,Jade,Electrical Engineer,European,19-06-2004,2004,High,-263101.57,2,4484.01,831359.53,434681.42,Frank Brown,1394336.47,2,Low Risk,135325.35,164030.73,5033.56,2735.2,0
IND19405,Earl Ortiz,Female,84,Senior (60 +),Private Banking,Low,80694.36,Jade,Paralegal,Asian,09-07-2019,2019,Low,930334.03,3,3556.68,883373.3,1600437.14,Bruce Butler,1505321.9,2,Low Risk,196231.94,662601.36,61991.72,20594.93,3
IND19422,Sean Harrison,Female,35,Adult (30-59),Private Banking,High,334843.23,Gold,Programmer III,Asian,29-09-2017,2017,High,1162143.46,1,9810.38,2374318.47,3245233.13,Todd Roberts,2581344.91,4,High Risk,232278.67,1800437.56,50535.96,68760.51,1
IND19447,Jimmy Warren,Female,36,Adult (30-59),Retail Banking,Medium,143843.29,Jade,Accounting Assistant III,European,13-05-2015,2015,High,1468937.24,1,2546.84,283138,1601165.63,Ernest Rivera,177708.12,2,Low Risk,136357.33,785087.67,18521.6,17099.12,3
IND19481,Michael Bailey,Male,74,Senior (60 +),Retail Banking,Low,86385.43,Jade,Safety Technician IV,Asian,18-08-2020,2020,Mid,165840.93,1,2450.37,994548.81,1040580,Adam Hernandez,1140703.77,2,Low Risk,110516.77,699700.34,36387.26,11743.34,2
IND19493,Sharon Lee,Male,78,Senior (60 +),Commercial Banking,Medium,114615.98,Jade,Web Developer III,European,17-03-2006,2006,High,112030.86,1,3577.46,324998.88,298332.57,Joshua Ryan,576759.17,2,Low Risk,103907.05,178271.9,12990.54,38367.58,3
IND19507,Benjamin Wood,Female,30,Adult (30-59),Private Banking,High,352767.12,Gold,Administrative Officer,African,02-10-2007,2007,High,5488.95,2,2354.69,321637.3,219305.24,Shawn Long,821211.75,2,Low Risk,92108.2,227137.57,14904.85,18067.5,0
IND19548,Shawn Welch,Male,60,Senior (60 +),Private Banking,Low,88444.07,Silver,Database Administrator I,European,14-07-2021,2021,High,680521.82,3,4093.89,88278.93,676061.16,Raymond Alexander,1626845.06,2,Low Risk,92927.68,448658.77,42047.41,3905.8,1
IND19580,William Bishop,Female,53,Adult (30-59),Commercial Banking,High,405403.08,Gold,Health Coach IV,Asian,18-01-2019,2019,Low,30681.83,1,7229.62,410859.6,327707.83,Dennis Morris,265531.91,4,High Risk,114264.92,105113.83,24398.18,6798.3,1
IND19583,Fred Reyes,Male,46,Adult (30-59),Private Banking,Medium,123556.5,Gold,Web Designer I,American,20-01-2008,2008,High,-386373.99,2,2383.5,573503.63,123112.69,Benjamin Kim,0,2,Low Risk,58831.45,59094.09,26104.13,7569,1
IND19589,Jane Parker,Female,49,Adult (30-59),Retail Banking,High,322668.5,Jade,Developer II,Asian,22-05-1996,1996,High,428867.14,1,4241.51,895255.97,1184493.52,Shawn Long,913863.27,2,Low Risk,134911.8,762894.13,36303.53,8959.3,3
IND19657,Heather Ryan,Male,60,Senior (60 +),Private Banking,Low,22765.74,Jade,Chemical Engineer,Australian,25-02-2003,2003,High,-88354.15,3,1906.74,148122.81,40303.49,Todd Roberts,58708.19,1,Very Low Risk,6018.66,56424.89,17099.87,15353.25,3
IND19666,John Daniels,Male,50,Adult (30-59),Institutional Banking,Low,71186.04,Jade,Web Developer II,European,02-07-2019,2019,Mid,-772446.17,2,4363.01,1267067.32,453483.46,Chris Armstrong,752241.86,3,Moderate Risk,31743.84,241658.95,73828.5,13756.86,2
IND19673,Deborah James,Male,67,Senior (60 +),Private Banking,Medium,123468.29,Platinum,Graphic Designer,European,08-01-2017,2017,Mid,-308709.79,1,1819,412041.52,74734.72,Victor Martinez,202210.02,2,Low Risk,11243.67,91466.38,12308.89,19172.34,1
IND19673,Frank Harper,Female,77,Senior (60 +),Retail Banking,Medium,191265.88,Jade,Database Administrator I,Asian,07-12-2016,2016,Low,2061747.18,1,4443.81,637807.27,2092998.26,Benjamin Kim,835505.64,2,Low Risk,599062.61,480614.41,3275.19,11937.39,3
IND19846,Lois Griffin,Female,18,Young (18-29),Private Banking,Low,97502.58,Platinum,Recruiting Manager,European,13-06-2019,2019,Mid,17855.53,2,1344.22,157753.41,150704.23,Anthony Berry,385928.65,1,Very Low Risk,21098.59,101864.9,20996.65,5150.34,2
IND19935,William Perry,Female,65,Senior (60 +),Commercial Banking,Medium,177192.75,Platinum,Geological Engineer,Asian,12-04-2000,2000,High,1879899.79,2,5375.23,1710554.11,3368735.54,Shawn Long,253296,2,Low Risk,188649.19,1768586.16,99286.27,38444.4,3
IND19945,Jason Allen,Female,84,Senior (60 +),Commercial Banking,Low,40099.99,Jade,Actuary,Asian,15-02-2019,2019,Mid,186515.55,1,4019.53,206729.85,303177.14,Ernest Rivera,711181.7,2,Low Risk,81560.59,151588.57,50014.84,12527.2,2
IND19975,Judy Myers,Female,47,Adult (30-59),Private Banking,Low,44664.01,Silver,Software Engineer II,American,31-03-2010,2010,Low,193175.62,1,155.9,861778.17,856487.3,Joshua Bennett,1149200.02,1,Very Low Risk,176275.34,417263.04,36125.73,22347.05,1
IND20002,Sean Palmer,Male,72,Senior (60 +),Commercial Banking,Medium,279877.46,Silver,Automation Specialist IV,Asian,04-03-2004,2004,Mid,-204123.45,1,3379.45,288749.23,26183.52,Jesse Evans,645523.36,2,Low Risk,14025.26,12902.03,5133.53,47796.45,1
IND20053,Jeffrey Gardner,Male,34,Adult (30-59),Private Banking,Low,90493.26,Silver,Biostatistician II,American,01-05-2000,2000,Mid,303948.43,1,1471.26,120713.72,228001.87,Adam Hernandez,717355.8,2,Low Risk,156801.29,120000.99,30259.85,41330.25,3
IND20140,Joseph Adams,Female,25,Young (18-29),Private Banking,Medium,258076.57,Gold,Database Administrator II,European,15-08-2013,2013,Mid,-168021.47,2,3986.31,487349.91,188758.85,Douglas Tucker,138932.78,2,Low Risk,105704.96,69814.92,30918.79,28850.94,3
IND20154,Sarah Wagner,Male,74,Senior (60 +),Commercial Banking,High,476122.14,Jade,Legal Assistant,European,30-10-2021,2021,High,-1105550.47,1,9973.27,1983384.25,745858.45,Mark Montgomery,276114.45,5,Very High Risk,126357.2,401133.96,11033.68,15591.4,3
IND20160,Betty Bennett,Female,83,Senior (60 +),Retail Banking,Low,27292.53,Silver,Statistician III,European,19-08-2002,2002,Mid,259801.44,1,217.78,292330.37,382718.69,Bruce Porter,240492.61,1,Very Low Risk,155041.78,130287.21,26925.21,14589.12,0
IND20167,Philip Ray,Female,85,Senior (60 +),Commercial Banking,Medium,177489.75,Platinum,Health Coach III,European,06-05-2004,2004,High,609676.51,2,5043.49,82412.36,532664.38,Jesse Evans,181546.18,2,Low Risk,155538,102728.13,46285.89,8929.98,3
IND20248,Michael Barnes,Female,62,Senior (60 +),Retail Banking,Low,44822.84,Gold,VP Product Management,Australian,02-04-1996,1996,High,593311.33,2,1808.24,969274.45,1225648.65,Joshua Bennett,102978.66,2,Low Risk,326382.52,274271.03,23678.87,12362.85,3
IND20255,Richard Young,Male,83,Senior (60 +),Private Banking,Low,37980.75,Jade,Biostatistician I,American,07-10-2011,2011,High,116169.54,1,1648.22,195587.75,253960.01,Joshua Bennett,1008604.05,2,Low Risk,44136.5,213092.88,21609.06,15309,2
IND20282,Timothy Tucker,Female,23,Young (18-29),Commercial Banking,Low,86087.84,Gold,Programmer Analyst III,American,31-03-2005,2005,Mid,1331319.81,2,3563.33,776495.99,1721388.65,Jesse Evans,340324.49,1,Very Low Risk,388016.16,389748.37,52492.83,1974.32,0
IND20303,Phillip Morrison,Female,72,Senior (60 +),Institutional Banking,Low,46797.89,Gold,Media Manager II,Asian,12-09-2007,2007,Low,1624716.91,1,8042.48,95282.57,1491077.4,Jason Duncan,1603067,2,Low Risk,226551.29,751318.07,12126.3,10413.27,2
IND20371,Kenneth Hayes,Female,47,Adult (30-59),Private Banking,Medium,268794.77,Silver,Administrative Officer,European,26-11-2021,2021,Low,-498302.12,1,679.8,826351.89,194305.07,Jeremy Vasquez,994980.49,3,Moderate Risk,71289.86,207705.42,15595.95,63134.64,1
IND20398,Melissa Miller,Male,65,Senior (60 +),Private Banking,Low,32301.47,Jade,Biostatistician III,Australian,29-09-2008,2008,High,-218483.31,1,1751.42,310657.96,74293.47,Jason Duncan,579453.83,1,Very Low Risk,14035.2,64447.35,13795.28,5597.4,1
IND20426,Lawrence Rice,Male,74,Senior (60 +),Retail Banking,Low,49932.69,Platinum,Web Designer I,European,23-05-2003,2003,Low,205974.87,1,380.63,639697.94,656176.23,Ernest Rivera,1040900.38,1,Very Low Risk,162254.49,136348.31,45820.47,27622.72,1
IND20451,Shawn Gardner,Male,35,Adult (30-59),Institutional Banking,Medium,181474.51,Jade,Software Test Engineer III,American,20-11-2015,2015,High,-272506.34,3,4394,926943.88,571620.95,Joe Hanson,1686633.52,2,Low Risk,49247.34,351766.74,70674.11,37963.25,1
IND20476,Jeffrey Wagner,Male,56,Adult (30-59),Retail Banking,Medium,193812.26,Silver,Health Coach I,European,11-08-2004,2004,High,2054405.58,1,7730.72,855234.08,2570251.9,Bruce Butler,3265394.72,5,Very High Risk,305859.98,1060228.91,5131.52,41258.5,2
IND20489,Anthony Parker,Male,58,Adult (30-59),Private Banking,Medium,136288.32,Platinum,Automation Specialist II,European,09-09-2019,2019,High,-1312427.66,1,6034.64,1335258.92,0,Anthony Berry,1195738.87,2,Low Risk,0,0,46786.57,28865.9,2
IND20560,Roger Wright,Female,78,Senior (60 +),Private Banking,Medium,139988.22,Jade,Staff Accountant IV,Asian,09-11-2004,2004,High,-765710.53,1,2725.87,935799.48,124273.65,Stephen Payne,269082,2,Low Risk,36600.89,26695.82,26586.85,11940.28,1
IND20569,Charles Martinez,Male,22,Young (18-29),Private Banking,Low,87389.09,Platinum,Automation Specialist IV,Asian,29-05-2002,2002,Low,-99868.53,2,389.08,208225.11,91350.74,Roger Alexander,631599.07,1,Very Low Risk,9460.43,45675.37,15216.12,7934.49,1
IND20608,Carolyn Hunt,Male,53,Adult (30-59),Private Banking,Low,99151.32,Silver,Professor,Asian,22-02-2006,2006,Low,374203.53,3,3352.33,357978.08,600265.17,Samuel Fowler,144831.9,2,Low Risk,107419.55,509527.41,47746.81,27849.22,2
IND20615,Jesse Martinez,Male,64,Senior (60 +),Private Banking,Low,85048.46,Silver,VP Accounting,European,02-06-2019,2019,High,96699.78,1,417.38,192796.81,199916.46,Frank Brown,480302.82,1,Very Low Risk,76994.85,135078.69,8554.24,13002.66,2
IND20616,Gerald Harrison,Female,38,Adult (30-59),Commercial Banking,High,342649.03,Jade,Accountant II,American,28-09-2009,2009,Mid,1191088.14,1,1371.63,2012623.19,2603230.63,Stephen Payne,1928415.9,4,High Risk,547232.31,886206.17,56366.58,54620.02,0
IND20631,Catherine Weaver,Male,50,Adult (30-59),Private Banking,Medium,156566.48,Jade,Associate Professor,European,24-09-1999,1999,Low,35731.49,1,1898.32,331846.7,281503.39,Ernest Rivera,0,1,Very Low Risk,66220.32,330654.77,12985.56,21752.8,0
IND20637,Craig Young,Female,50,Adult (30-59),Private Banking,Medium,151421.25,Jade,Engineer IV,European,02-02-2013,2013,High,620268.42,3,2228.28,192468.15,594917.14,Anthony Torres,361838.82,2,Low Risk,215129.71,262275.3,22225.14,4918,2
IND20655,Victor Jenkins,Male,43,Adult (30-59),Retail Banking,High,361257.67,Jade,Paralegal,Asian,13-03-2017,2017,Low,-290084.83,1,8534.37,704827.56,298804.88,Bruce Butler,1009649.66,3,Moderate Risk,72797.54,113256.69,57647.55,51674.68,0
IND20659,Kathleen Lee,Female,67,Senior (60 +),Commercial Banking,Medium,205039.92,Silver,Nurse Practicioner,European,06-04-2008,2008,Mid,1672.64,1,51.77,325697.12,256902.3,Victor Ramos,963984.36,2,Low Risk,56621.27,243200.84,36539.57,13897.96,3
IND20725,Steven Ferguson,Female,23,Young (18-29),Private Banking,Low,94763.85,Gold,Data Coordiator,European,17-06-2021,2021,High,755501.31,2,5371.77,722990.92,1233460.62,Joe Hanson,1761769.84,3,Moderate Risk,196049.08,842074.08,54034.84,54354.3,3
IND20755,Catherine Bell,Male,30,Adult (30-59),Private Banking,Medium,241146.8,Silver,Accounting Assistant I,American,07-10-1996,1996,High,-61716.82,1,1104.26,95355.84,19577.68,Dennis Morris,476097.96,2,Low Risk,3719.76,24549.79,32380.69,11445.84,2
IND20812,Jason Morgan,Female,47,Adult (30-59),Retail Banking,Low,45492.89,Jade,Budget/Accounting Analyst IV,Asian,25-04-2009,2009,High,383108.74,1,3284.7,938754.7,972009.25,Jesse Evans,473930.91,2,Low Risk,328123.9,368042.34,24629.22,25014.99,3
IND20899,Stephen Schmidt,Female,55,Adult (30-59),Private Banking,Low,47981.48,Gold,Geologist IV,European,07-08-2005,2005,Low,963438.05,1,2650.17,270267.21,1084086.7,Samuel Fowler,586768.09,2,Low Risk,140931.27,703705.4,15656.93,11337.46,2
IND20927,Jack Richardson,Female,23,Young (18-29),Private Banking,Medium,234162.04,Gold,Paralegal,Australian,29-03-2005,2005,Low,-1482570.72,2,113.73,1830929.44,296190.68,Victor Martinez,797065.83,3,Moderate Risk,42785.35,127808.31,97909.41,9496.42,0
IND20946,Martin Jordan,Male,45,Adult (30-59),Commercial Banking,High,378281.43,Silver,Staff Scientist,African,13-07-2001,2001,Mid,758561.24,1,11375.95,1562862.06,2027877.93,Shawn Cook,710602.06,3,Moderate Risk,246092.8,876566.59,94926.87,58828.52,1
IND21000,Henry Mills,Male,56,Adult (30-59),Commercial Banking,Medium,211605.61,Silver,Staff Scientist,Asian,23-08-2010,2010,Low,1462560.04,1,1262.04,885758.4,1904110.56,Paul Larson,439166.47,2,Low Risk,412736.08,616824.55,64345.65,32733.84,2
IND21009,Charles Bryant,Female,40,Adult (30-59),Private Banking,Medium,162116.96,Jade,Computer Systems Analyst III,European,10-09-2006,2006,High,435367.87,2,2642.12,317002.4,524488.64,Chris Armstrong,1065429.56,2,Low Risk,183112.1,334361.51,15214.68,47411.65,1
IND21018,Jeremy Jacobs,Female,54,Adult (30-59),Institutional Banking,High,305348.02,Gold,Nurse,European,17-11-2008,2008,Mid,1528134.22,1,7415.95,239042.4,1291352.74,Douglas Tucker,641559.73,3,Moderate Risk,431733.99,484257.28,77112.73,51505.84,3
IND21028,Craig James,Male,80,Senior (60 +),Private Banking,Medium,137250.19,Silver,Librarian,European,26-11-2006,2006,Low,-72161.67,3,1801.89,549960.86,415274.04,Paul Holmes,693670,2,Low Risk,58540.24,343829.04,39367.44,5786.8,3
IND21031,Michelle Little,Male,37,Adult (30-59),Institutional Banking,Medium,126956.13,Jade,Marketing Assistant,European,26-05-2015,2015,Mid,-4712.64,3,707.47,133026.34,65263.55,Adam Hernandez,226266.87,1,Very Low Risk,46324.8,41867.18,1979.5,17432.82,1
IND21058,Doris Palmer,Female,76,Senior (60 +),Retail Banking,Low,75930.86,Jade,Accounting Assistant I,Asian,06-05-2017,2017,High,407110.83,1,1113.26,533779.39,682905.65,Dennis Morris,639038.61,2,Low Risk,251640.38,248329.33,31097.78,7457.45,3
IND21098,Jason Woods,Female,83,Senior (60 +),Private Banking,Medium,238781.13,Jade,Community Outreach Specialist,Asian,12-11-1996,1996,Mid,442511.27,1,4957.84,916634.56,1211730.47,Paul Holmes,285914.61,2,Low Risk,113996.78,976443,12450.75,38376.42,2
IND21106,Willie Richards,Male,77,Senior (60 +),Commercial Banking,High,397164.13,Jade,Web Developer III,European,26-09-1995,1995,Low,-418599.37,2,3240.93,599879.42,111414.82,Steve Diaz,1182052.19,3,Moderate Risk,23659.27,67722.74,52333.49,49446.89,0
IND21170,Phyllis Lawrence,Male,50,Adult (30-59),Private Banking,Medium,202295.22,Gold,Statistician IV,Asian,30-05-2003,2003,High,248917.21,2,4071.5,214711.06,404575.54,Nicholas Cunningham,1263947.73,2,Low Risk,37062.01,296207.09,46494.91,26062.22,2
IND21206,Julia Cole,Female,41,Adult (30-59),Retail Banking,High,372350.09,Jade,Budget/Accounting Analyst IV,Asian,18-10-2016,2016,Mid,1434757.02,1,7998.83,250994.47,1252548.2,Joshua Ryan,1735367.37,4,High Risk,379901.32,482633.25,9656.16,61300.8,0
IND21229,Jason Harvey,Female,61,Senior (60 +),Retail Banking,Low,55231.61,Jade,Office Assistant IV,European,21-07-2020,2020,Low,-387116.24,2,3947.42,750564.86,257730.54,Shawn Long,646704.13,2,Low Risk,82634.86,56378.56,41911.3,27030.64,2
IND21262,Irene Wood,Male,32,Adult (30-59),Private Banking,Medium,242779.9,Jade,Senior Financial Analyst,Asian,14-07-2011,2011,High,578545.31,1,3344.54,610132.67,972181.04,Anthony Berry,361619.85,2,Low Risk,206329.91,672252.85,1940.57,13511.57,0
IND21271,Kenneth Simmons,Female,55,Adult (30-59),Retail Banking,Low,77057.74,Silver,Associate Professor,Asian,10-02-1999,1999,Mid,109480.16,1,469.14,43233.46,82808.38,Paul Holmes,331817,1,Very Low Risk,55338.84,45687.38,9449.28,15035.54,3
IND21279,Christopher Evans,Female,36,Adult (30-59),Retail Banking,Low,50651.56,Jade,Administrative Assistant IV,European,20-03-2013,2013,High,185806.21,3,509.21,278071.37,302540.6,Adam Hernandez,430027.77,1,Very Low Risk,153748.94,94771.75,16732.39,8097.25,3
IND21281,Patrick Coleman,Female,60,Senior (60 +),Private Banking,Medium,229493.03,Platinum,Account Representative IV,European,11-05-2008,2008,Mid,-895047.04,2,689.6,1959490.83,892214.75,Mark Montgomery,1313564.36,3,Moderate Risk,108443.45,465788.58,34932.84,64475.19,2
IND21305,Benjamin Pierce,Female,59,Adult (30-59),Private Banking,High,323979.45,Jade,Assistant Professor,European,16-10-2018,2018,High,-508174.98,1,2910.47,2080975.63,1199695.67,Nicholas Cunningham,1225924.24,5,Very High Risk,339262.78,334798.79,65549.21,36752.67,2
IND21309,Joshua Wheeler,Male,81,Senior (60 +),Private Banking,Low,66270.49,Jade,Web Designer I,American,22-03-2005,2005,High,-108653.94,1,1723.47,227862,84598.86,Steve Diaz,376337.63,1,Very Low Risk,33107.2,68184.16,2786.28,3225.47,0
IND21371,Timothy Larson,Male,85,Senior (60 +),Commercial Banking,Low,41843.49,Silver,Project Manager,Australian,27-10-2006,2006,Low,1270093.86,3,2900.64,45830.16,1063704.14,Anthony Berry,114520.07,1,Very Low Risk,232610.02,260908.56,19140.1,22510.5,0
IND21386,Jason Cunningham,Female,83,Senior (60 +),Retail Banking,Medium,111158.78,Jade,Accounting Assistant II,American,31-10-1999,1999,Low,44476.4,2,723.38,223158.09,197430.38,Anthony Simpson,259288.73,1,Very Low Risk,43028.21,118071.11,11507.31,27899.28,0
IND21388,Thomas Russell,Female,64,Senior (60 +),Institutional Banking,High,393255.36,Jade,VP Accounting,Australian,02-05-1995,1995,Mid,161790.34,2,3440.64,1294827.24,1201703.83,Joe Price,1287612.48,3,Moderate Risk,202229.59,789691.09,27451.2,56124.8,3
IND21399,Kathy Larson,Male,36,Adult (30-59),Retail Banking,Low,42638.7,Silver,Database Administrator II,European,04-04-2011,2011,High,-29514.55,1,1793.83,161088.83,80407.61,Jason Duncan,195265.57,1,Very Low Risk,37910.7,32758.66,8061.53,15049.8,2
IND21443,Carlos Lopez,Female,82,Senior (60 +),Institutional Banking,Medium,196324.95,Jade,Quality Engineer,European,15-10-2010,2010,Low,215884.44,3,1337.31,1576657.16,1489199.09,Bobby Burton,1610318.71,2,Low Risk,285013.14,586983.58,12574.71,19666.68,1
IND21489,Joshua Clark,Male,48,Adult (30-59),Institutional Banking,Medium,237510.45,Platinum,Budget/Accounting Analyst IV,African,03-07-2007,2007,Mid,516151.87,1,2757.89,1257273.74,1393358.99,Chris Armstrong,273302.63,4,High Risk,358292.31,419055.34,5785.1,24532.2,1
IND21502,Tina Young,Female,36,Adult (30-59),Private Banking,Medium,139581.75,Silver,Budget/Accounting Analyst I,Asian,09-04-2020,2020,Low,295576.43,2,2091.6,860536.8,955530.72,Anthony Berry,0,2,Low Risk,186089.61,469802.6,22869.6,16584.5,3
IND21504,Margaret Romero,Male,70,Senior (60 +),Institutional Banking,Medium,200099.52,Jade,Developer II,American,25-05-2021,2021,High,-888384.45,1,5741.64,1285247.66,321683.09,James Castillo,266964.12,2,Low Risk,37268.16,196148.22,52484.35,43653.6,3
IND21526,Jimmy Berry,Male,59,Adult (30-59),Retail Banking,Medium,124795.76,Jade,Analog Circuit Design manager,European,18-07-2020,2020,Mid,-513979.95,1,2648.1,941295.81,391486.78,Victor Martinez,600188.86,1,Very Low Risk,34330.38,190724.33,28008.71,4146.8,2
IND21547,Mark Owens,Male,83,Senior (60 +),Retail Banking,Medium,210650.82,Gold,Office Assistant II,Asian,06-11-2008,2008,High,-636951.61,1,4093.55,707178.12,30355.17,Stephen Payne,699099.2,3,Moderate Risk,15045.61,17597.2,4661.89,28919.28,1
IND21564,Joe Wells,Male,62,Senior (60 +),Private Banking,Medium,155712.08,Jade,Software Test Engineer III,Asian,28-05-2008,2008,Mid,-187218.93,1,3621.6,938493.75,557439.61,Stephen Payne,849689.45,2,Low Risk,169785.04,127657.93,55223.94,27671.77,3
IND21599,Diane Clark,Male,70,Senior (60 +),Commercial Banking,Medium,191832.93,Jade,Account Representative II,Australian,13-09-2007,2007,Low,151041.38,1,3854.45,1131108.23,991058.22,Ernest Rivera,209853.4,4,High Risk,233753.04,444267.48,29654.82,61192.8,0
IND21608,Matthew James,Male,32,Adult (30-59),Private Banking,Low,69789.31,Silver,Software Test Engineer IV,Asian,05-12-2003,2003,Mid,483320.66,3,6081.29,832543.24,1031441.22,Samuel Fowler,596375.56,2,Low Risk,260365.23,279962.62,40998.33,30138.74,3
IND21667,Elizabeth Mendoza,Female,62,Senior (60 +),Institutional Banking,High,384161.97,Silver,Internal Auditor,European,29-08-2000,2000,Mid,-393920.46,1,715.68,652417.08,157233.09,Jason Duncan,531618.36,4,High Risk,46603.89,232704.97,6863.22,55375.32,2
IND21698,Susan Hawkins,Female,64,Senior (60 +),Private Banking,Medium,102656.95,Silver,Human Resources Assistant I,European,27-05-2006,2006,High,140925.21,2,1680.06,36116.99,149993.14,Bruce Porter,440832.68,1,Very Low Risk,18320.59,120912.84,24312.89,10408.53,0
IND21788,Stephanie Morris,Male,33,Adult (30-59),Private Banking,Low,89620.22,Jade,Structural Analysis Engineer,Australian,31-03-2008,2008,Mid,-75034.8,2,953.02,152540.99,52344.55,Joe Price,531044.2,1,Very Low Risk,11676.86,37388.96,5317.59,14437.8,3
IND21808,Timothy Washington,Male,47,Adult (30-59),Retail Banking,Medium,161632.96,Jade,Analog Circuit Design manager,Asian,22-12-2021,2021,High,2121074.05,1,3102.79,771458.71,2266816.16,Bruce Porter,2927481.99,5,Very High Risk,620166.69,356417.64,32745.19,8652.7,2
IND21838,Andrew Cox,Female,42,Adult (30-59),Private Banking,Low,98690.55,Jade,Research Assistant I,African,29-10-2009,2009,Mid,-869136.83,1,2657.13,1579301.37,592875.77,Nicholas Simmons,1242582.1,2,Low Risk,88171.27,228029.14,100465.97,31774.63,3
IND21853,Ernest Gutierrez,Male,55,Adult (30-59),Retail Banking,Medium,295246.07,Gold,Automation Specialist IV,European,28-05-2019,2019,High,231298.15,3,3319.84,572098.56,635126.82,Ernest Rivera,675214.26,2,Low Risk,122791.19,518321.89,44293.61,48798.54,2
IND21887,Ruby Butler,Male,28,Young (18-29),Private Banking,Low,81557.86,Gold,VP Marketing,American,13-10-2005,2005,Low,72429.29,2,548.41,261970.49,218097.36,Jerry Green,345344.84,1,Very Low Risk,114366.67,101579.59,14742.15,2484.16,0
IND21889,Justin Moore,Male,47,Adult (30-59),Commercial Banking,Medium,165191.04,Silver,Legal Assistant,European,21-05-2000,2000,Mid,-211976.07,2,3115.2,936139.19,598631.92,Bruce Butler,835404.19,2,Low Risk,85868.28,495641.48,57101.93,42778.12,2
IND21947,Roy Knight,Male,81,Senior (60 +),Private Banking,Medium,274655.13,Jade,Senior Editor,European,08-01-2018,2018,High,-202016.44,1,178.43,549718.53,265852.33,Paul Larson,2060880.9,2,Low Risk,51020.19,107513.81,8100.81,31008,3
IND21974,Judith Frazier,Female,20,Young (18-29),Commercial Banking,High,308772.02,Jade,Biostatistician III,European,27-01-2019,2019,Low,1036301.32,1,6579.62,745186.6,1184816.7,Roy Rice,495486.53,4,High Risk,538822.32,417378.61,51389.36,64428.52,0
IND21979,John Snyder,Male,39,Adult (30-59),Commercial Banking,Medium,112479.91,Jade,Account Coordinator,American,25-06-2020,2020,Mid,541088.74,1,4486.43,1336520.74,1607891.88,Nicholas Simmons,858167.52,2,Low Risk,233144.32,937936.93,33188.15,41059.71,1
IND22076,Kathy Barnes,Female,32,Adult (30-59),Commercial Banking,Medium,168014.18,Gold,Structural Engineer,Asian,14-08-2021,2021,Mid,168733.92,1,2743.23,533283.18,504571.64,Samuel Fowler,145955.64,2,Low Risk,173423.14,323922.53,17508.76,26765.55,3
IND22081,James Stone,Female,26,Young (18-29),Commercial Banking,Medium,165872.64,Gold,Engineer III,American,22-08-1999,1999,High,-550699.04,2,3542.77,691428.71,105060.55,Anthony Simpson,268739.74,2,Low Risk,24374.05,119607.39,18921.66,14837.84,1
IND22142,Susan Cole,Female,74,Senior (60 +),Retail Banking,Medium,296441.07,Jade,Software Test Engineer II,Asian,20-03-1996,1996,Mid,-157834.98,1,2740.79,1423871.83,954905.24,Jerry Green,1595502.15,4,High Risk,288225.48,477452.62,32169.68,25646.92,1
